Unique ID,Primary Data Element,Message ID,Message Text,Rule Logic,Severity,Property Affected,Report Section,Report Subsection,Report Label / Value,Data Point Name / Value, xPath,Related Value(s),Date Format,Number Format,Min Value,Max Value
0100.0007,AddressLineText,UAD1001,Provide the address line for the subject property physical address.,If AddressLineText is not provided,Fatal,Subject,Subject Property,{No Subsection},Physical Address,AddressLineText,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/ADDRESS/,,,,,
0100.0009,CityName,UAD1002,Provide the city name for the subject property physical address.,If CityName is not provided,Fatal,Subject,Subject Property,{No Subsection},Physical Address,CityName,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/ADDRESS/,,,,,
0100.0010,CountyName,UAD1003,Provide the county name for the subject property physical address.,If CountyName is not provided,Fatal,Subject,Subject Property,{No Subsection},County,CountyName,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/ADDRESS/,,,,,
0100.0011,PostalCode,UAD1004,Provide the ZIP code for the subject property physical address.,If PostalCode is not provided,Fatal,Subject,Subject Property,{No Subsection},Physical Address,PostalCode,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/ADDRESS/,,,,,
0100.0011,PostalCode,UAD1005,"The ZIP code for the subject property physical address must be either 5 digits, or 5 digits, a hyphen, and 4 digits (ZIP+4).","If PostalCode is not in the required format (5 digits, or 5 digits, a hyphen, and 4 digits)",Fatal,Subject,Subject Property,{No Subsection},Physical Address (%PV%),PostalCode (%PV%),../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/ADDRESS/,,,,,
0100.0012,StateCode,UAD1006,Provide the state code for the subject property physical address.,If StateCode is not provided,Fatal,Subject,Subject Property,{No Subsection},Physical Address,StateCode,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/ADDRESS/,,,,,
0100.0012,StateCode,UAD1007,The state code for the subject property physical address must be a valid 2-character US State or Territory Code.,If StateCode is not a valid 2-character US State or Territory Code,Fatal,Subject,Subject Property,{No Subsection},Physical Address (%PV%),StateCode (%PV%),../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/ADDRESS/,,,,,
0100.0015,LatitudeIdentifier,UAD1008,"Provide the latitude for subject property. For assistance with this message, contact the appraisal software vendor.",If LatitudeIdentifier is not provided,Warning,Subject,Does Not Display,Does Not Display,Does Not Display,LatitudeIdentifier,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/LOCATION_IDENTIFIER/GEOSPATIAL_INFORMATION/,,,,,
0100.0016,LongitudeIdentifier,UAD1009,"Provide the longitude for subject property. For assistance with this message, contact the appraisal software vendor.",If LongitudeIdentifier is not provided,Warning,Subject,Does Not Display,Does Not Display,Does Not Display,LongitudeIdentifier,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/LOCATION_IDENTIFIER/GEOSPATIAL_INFORMATION/,,,,,
0100.0019,AccessoryDwellingUnitTotalCount,UAD1010,"Provide the total number of ADUs, even if the value is 0.",If AccessoryDwellingUnitTotalCount is not provided,Fatal,Subject,Subject Property,{No Subsection},Accessory Dwelling Units,AccessoryDwellingUnitTotalCount,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/PROPERTY_DETAIL/,,,,,
0100.0019,AccessoryDwellingUnitTotalCount,UAD1011,The number of 'Accessory Dwelling Units' does not equal the number of living units identified as an ADU.,"If AccessoryDwellingUnitTotalCount <> the number of instances of PROPERTY_UNIT_DETAIL with AccessoryDwellingUnitIndicator = ""true""",Fatal,Subject,Subject Property,{No Subsection},Accessory Dwelling Units (%PV%),AccessoryDwellingUnitTotalCount (%PV%),../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/PROPERTY_DETAIL/,,,,,
0100.0020,AttachmentType,UAD1012,Provide the 'Attachment Type' for the property.,If AttachmentType is not provided,Fatal,Subject,Subject Property,{No Subsection},Attachment Type,AttachmentType,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/PROPERTY_DETAIL/,,,,,
0100.0021,DwellingCount,UAD1013,Provide the total number of dwellings.,If DwellingCount is not provided,Fatal,Subject,Subject Property,{No Subsection},Dwellings Containing Units,DwellingCount,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/PROPERTY_DETAIL/,,,,,
0100.0021,DwellingCount,UAD1014,The total number of dwellings must be at least 1.,If DwellingCount < 1,Fatal,Subject,Subject Property,{No Subsection},Dwellings Containing Units (%PV%),DwellingCount (%PV%),../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/PROPERTY_DETAIL/,,,,1,
0100.0021,DwellingCount,UAD1015,"The total number of dwellings exceeds the total number of living units, excluding any ADUs.",If DwellingCount > LivingUnitExcludingADUCount,Fatal,Subject,Subject Property,{No Subsection},Dwellings Containing Units (%PV%),DwellingCount (%PV%),../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/PROPERTY_DETAIL/,,,,,
0100.0021,DwellingCount,UAD1016,The 'Dwellings Containing Units' does not equal the number of structures identified as a dwelling.,"If DwellingCount does not equal the number of instances of IMPROVEMENT_DETAIL with ImprovementType = ""Dwelling""",Fatal,Subject,Subject Property,{No Subsection},Dwellings Containing Units (%PV%),DwellingCount (%PV%),../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/PROPERTY_DETAIL/,,,,,
0100.0022,LivingUnitExcludingADUCount,UAD1017,"Provide the total number of living units, excluding any ADUs.",If LivingUnitExcludingADUCount is not provided,Fatal,Subject,Subject Property,{No Subsection},Units Excluding ADUs,LivingUnitExcludingADUCount,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/PROPERTY_DETAIL/,,,,,
0100.0022,LivingUnitExcludingADUCount,UAD1018,"The total number of living units, excluding any ADUs, must be at least 1.",If LivingUnitExcludingADUCount < 1,Fatal,Subject,Subject Property,{No Subsection},Units Excluding ADUs (%PV%),LivingUnitExcludingADUCount (%PV%),../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/PROPERTY_DETAIL/,,,,1,
0100.0022,LivingUnitExcludingADUCount,UAD1019,The 'Units Excluding ADUs' does not equal the number of living units delivered in the UAD XML.,"If LivingUnitExcludingADUCount does not equal the number of instances of PROPERTY_UNIT_DETAIL with AccessoryDwellingUnitIndicator = ""false""",Fatal,Subject,Subject Property,{No Subsection},Units Excluding ADUs (%PV%),LivingUnitExcludingADUCount (%PV%),../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/PROPERTY_DETAIL/,,,,,
